rank,country,january,february,march,april,may,june,july,august,september,october,total,share
137,GIBRALTAR,12,9,18,16,9,6,11,8,2,31,122,0.00%
138,LIBERIA,11,14,13,16,8,12,10,5,17,14,120,0.00%
139,RWANDA,12,9,10,10,4,7,13,24,15,13,117,0.00%
140,PARAGUAY,18,28,8,9,8,9,7,8,11,1,107,0.00%
141,SAMOA,4,9,12,12,2,15,9,13,14,15,105,0.00%
142,SENEGAL,7,4,5,8,5,7,4,21,33,10,104,0.00%
143,TONGA,14,10,8,17,16,8,2,6,13,7,101,0.00%
144,"ESWATINI (FMR. ""SWAZILAND"")",5,3,11,11,6,3,5,9,27,20,100,0.00%
145,LIECHTENSTEIN,11,12,15,15,6,8,16,4,7,5,99,0.00%
146,BAHAMAS,14,9,8,6,5,15,11,3,9,17,97,0.00%
147,MONACO,10,16,19,10,5,5,11,3,4,13,96,0.00%
148,BOSNIA AND HERZEGOVINA,15,13,8,10,6,4,7,8,13,10,94,0.00%
149,ARUBA,1,3,15,6,12,9,13,5,19,10,93,0.00%
150,FRENCH POLYNESIA,8,8,7,14,8,13,8,5,8,13,92,0.00%
151,NAMIBIA,8,10,3,18,12,11,8,6,3,8,87,0.00%
151,MOZAMBIQUE,3,7,14,7,8,3,17,7,14,7,87,0.00%
152,SAINT KITTS AND NEVIS,9,9,12,7,7,13,6,6,7,9,85,0.00%
153,TURKMENISTAN,9,5,17,11,8,8,5,4,7,9,83,0.00%
154,MALAWI,16,9,5,4,3,9,5,11,10,9,81,0.00%
155,LIBYA,4,12,3,9,6,9,7,14,10,2,76,0.00%
156,MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF),12,5,11,8,7,10,2,4,7,5,71,0.00%
157,ALGERIA,7,3,2,9,3,5,10,16,6,8,69,0.00%
158,KIRIBATI,-,7,4,9,11,7,6,10,6,4,64,0.00%
158,MONTENEGRO,2,4,7,-,4,-,6,35,4,2,64,0.00%
159,SEYCHELLES,3,4,1,12,10,7,2,13,6,4,62,0.00%
160,BOTSWANA,6,6,2,4,11,5,3,12,2,8,59,0.00%
160,BURKINA FASO,1,-,3,13,4,26,2,1,4,5,59,0.00%
161,NICARAGUA,3,4,6,4,2,9,2,7,7,14,58,0.00%
162,AZERBAIJAN,5,6,6,2,5,8,3,10,5,4,54,0.00%
163,Ã…LAND ISLANDS,4,5,3,5,6,9,6,5,3,7,53,0.00%
164,GUINEA,4,3,4,3,5,5,1,18,3,2,48,0.00%
165,VIRGIN ISLANDS (U.S.),6,3,7,11,5,7,2,3,1,2,47,0.00%
166,"CONGO, REPUBLIC OF (CAP. BRAZZAVILLE)",2,5,3,8,2,5,5,7,4,3,44,0.00%
167,PALESTINE STATE,3,7,-,2,-,1,16,6,8,-,43,0.00%
168,BURUNDI,1,1,5,4,1,3,5,5,11,6,42,0.00%
168,TOGO,10,-,4,2,-,3,7,4,4,8,42,0.00%
169,YEMEN,4,10,2,2,1,3,2,11,4,1,40,0.00%
170,BENIN,4,4,3,2,3,6,2,5,6,3,38,0.00%
171,BELIZE,3,4,1,5,3,2,9,7,2,1,37,0.00%
171,COOK ISLANDS,1,1,2,6,4,7,1,3,8,4,37,0.00%
172,SURINAME,1,2,1,3,3,1,2,3,16,3,35,0.00%
172,GAMBIA,-,3,1,3,2,1,3,5,7,10,35,0.00%
173,CURAÃ§AO,6,5,5,2,1,3,3,2,3,2,32,0.00%
